epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,3128.04,0.95067,0.49016,1.11179,0.96278,0.95592,0.98981,0.76449,0.89871,0.39976,1.097,0.006304,0.006304,0.006304
58,3182.93,0.94139,0.47699,1.11003,0.95609,0.9594,0.98958,0.77632,0.84536,0.39463,1.06752,0.006238,0.006238,0.006238
59,3237.82,0.93277,0.46604,1.10281,0.973,0.95708,0.99055,0.74751,0.96618,0.40454,1.12783,0.006172,0.006172,0.006172
60,3292.59,0.92984,0.46005,1.09504,0.9621,0.97182,0.99167,0.76514,0.89342,0.37309,1.09032,0.006106,0.006106,0.006106
61,3347.56,0.93341,0.46267,1.09109,0.95985,0.96752,0.99048,0.73837,0.95983,0.41225,1.1253,0.00604,0.00604,0.00604
62,3402.46,0.93252,0.46207,1.10164,0.96634,0.96584,0.99149,0.77286,0.85444,0.39278,1.07997,0.005974,0.005974,0.005974
63,3457.27,0.93246,0.46632,1.09845,0.96281,0.96752,0.9915,0.77551,0.87878,0.38459,1.08726,0.005908,0.005908,0.005908
64,3512.14,0.91583,0.45491,1.09202,0.96394,0.971,0.99104,0.76912,0.87553,0.3812,1.07754,0.005842,0.005842,0.005842
65,3566.98,0.9069,0.45773,1.09354,0.96421,0.96885,0.99013,0.77848,0.82487,0.38745,1.05561,0.005776,0.005776,0.005776
66,3622.03,0.9138,0.45917,1.08956,0.96824,0.9652,0.99028,0.77581,0.8786,0.38015,1.0803,0.00571,0.00571,0.00571
67,3676.84,0.90241,0.45621,1.09169,0.95781,0.97435,0.9917,0.78314,0.85195,0.37026,1.06899,0.005644,0.005644,0.005644
68,3731.76,0.91372,0.45241,1.08812,0.96214,0.96288,0.99099,0.77236,0.87367,0.37398,1.07657,0.005578,0.005578,0.005578
69,3786.54,0.91003,0.45379,1.08644,0.97625,0.95708,0.99212,0.7747,0.85667,0.37035,1.06771,0.005512,0.005512,0.005512
70,3841.28,0.89474,0.44724,1.08172,0.95705,0.96636,0.99086,0.7607,0.90155,0.38224,1.10115,0.005446,0.005446,0.005446
71,3896.08,0.88709,0.44656,1.06925,0.96165,0.971,0.99188,0.77543,0.87996,0.36829,1.08564,0.00538,0.00538,0.00538
72,3950.83,0.90619,0.44492,1.08016,0.95747,0.96624,0.99047,0.77447,0.86683,0.37885,1.0766,0.005314,0.005314,0.005314
73,4005.55,0.88905,0.44873,1.07839,0.97298,0.9652,0.99212,0.76765,0.91665,0.36914,1.10298,0.005248,0.005248,0.005248
74,4060.35,0.89625,0.44546,1.08262,0.9721,0.97019,0.99205,0.78805,0.83598,0.35074,1.06316,0.005182,0.005182,0.005182
75,4115.35,0.89568,0.43856,1.08374,0.96232,0.97761,0.99182,0.77276,0.88947,0.37087,1.08775,0.005116,0.005116,0.005116
76,4170.26,0.88969,0.43529,1.07841,0.96652,0.96752,0.9913,0.78358,0.85356,0.37326,1.06608,0.00505,0.00505,0.00505
77,4225.03,0.8884,0.43599,1.0759,0.96994,0.971,0.99185,0.78389,0.8452,0.36049,1.06266,0.004984,0.004984,0.004984
78,4279.78,0.89393,0.4373,1.07566,0.96553,0.96404,0.99145,0.76465,0.90994,0.37224,1.09321,0.004918,0.004918,0.004918
79,4334.55,0.88645,0.4395,1.06882,0.96001,0.97461,0.99179,0.78407,0.85438,0.36194,1.06669,0.004852,0.004852,0.004852
80,4389.31,0.88225,0.43095,1.0734,0.96204,0.96056,0.99019,0.79346,0.80904,0.36491,1.04396,0.004786,0.004786,0.004786
81,4444.37,0.88256,0.43182,1.07289,0.97473,0.9652,0.99207,0.78906,0.84492,0.35355,1.06387,0.00472,0.00472,0.00472
82,4499.06,0.87697,0.42184,1.07629,0.97755,0.96404,0.99254,0.78596,0.85407,0.36134,1.06605,0.004654,0.004654,0.004654
83,4553.73,0.88734,0.437,1.08195,0.95539,0.96895,0.99105,0.78226,0.85834,0.36369,1.06977,0.004588,0.004588,0.004588
84,4608.45,0.87349,0.41774,1.07323,0.98227,0.96425,0.99241,0.77656,0.88624,0.34851,1.08302,0.004522,0.004522,0.004522
85,4663.15,0.87404,0.4238,1.07024,0.96883,0.97343,0.99229,0.79461,0.83053,0.34969,1.05357,0.004456,0.004456,0.004456
86,4718.13,0.87397,0.4252,1.06509,0.97211,0.97031,0.99151,0.76996,0.87764,0.35603,1.07759,0.00439,0.00439,0.00439
87,4772.86,0.86572,0.43134,1.06319,0.97652,0.96404,0.99242,0.77588,0.86236,0.35731,1.0679,0.004324,0.004324,0.004324
88,4827.62,0.85882,0.42017,1.06067,0.97102,0.97187,0.99194,0.79224,0.83002,0.34679,1.0564,0.004258,0.004258,0.004258
